T-0,T-15,T-30,T-60,T-120,T-300,T-600,T-1200,T-3600
1,0.9141604,1.0738,1.0201,1.0559,1.050078,0.9774215,0.995223,1.047131
1,0.89765,1.0891,1.00292,0.980085,1.0284415,1.1739088,1.50272,1.618097
1,0.84679245,1.151564,0.9586809,1.0126,0.928862,0.921792,0.83188705,0.85022555
1,0.7588404,0.96981,1.0425,1.0539,0.8378016,0.8244023,0.828226,0.8975855
1,1.0614,1.2447,1.1725,0.8188667,1.047263,1.271116,1.214019,1.506523
1,1.052554,1.042416,0.90787,0.95281,1.0735266,2.630264,1.691818,2.409116
1,1.0071385,0.533477,0.2557,0.31282,0.3798526,0.3975985,0.8186483,0.85303415
1,1.141,1.1961,1.0659,0.72765,0.8229775,0.9473285,0.9810655,1.174398
1,1.094,0.85867,0.81092,0.74472,1.047921,1.132349,1.269551,1.63642
1,1.345396,0.8471704,0.85464,0.20428,2.700951,5.420054,6.935294,7.043108
1,4.0915495,3.2716635,1.025,0.71869,0.8159269,0.9702144,0.84431935,0.88508045
1,0.94953,1.004288,1.0022035,0.94185,1.064169,1.068422,1.175862,1.043515
1,0.95485,0.879124,1.0022035,0.94185,1.064169,1.068422,0.9919651,0.9565716
1,0.7942181,0.8659508,0.84563,0.76502,0.8897588,0.9025876,1.1694082,1.384294
1,0.9240147,1.040387,1.06045,0.9210473,1.076843,1.240035,1.07345755,1.04645825
1,0.38189,0.3967,0.38626,0.3891505,0.4829285,0.5940711,0.5932254,0.5052291
1,2.39135,4.52385,0.9154993,1.179885,1.093434,1.185902,1.234659,1.145161
1,1.1302,1.1468,1.2204,1.06345375,0.99944415,1.132734,1.035347,1.066769
1,1.068639,0.90681,1.0321,0.97248,0.9285051,0.9505703,0.9420632,1.065383
1,0.97563,0.9369,1.026175,1.2393,1.120825,1.08179045,0.97369275,0.8047642
1,1.0641,0.87322,0.88571,1.338,1.072685,0.8389261,0.8716876,0.9994004
1,0.84561,0.21611,0.49613,1.1114,1.564872,1.07251425,0.5504486,0.5181615
1,1.0736,0.91079,0.773155,1.2865,1.074737,0.777495,0.977326,1.261114
1,0.84561,0.21611,0.49613,1.1114,1.564872,1.07251425,0.5504486,0.5181615
1,0.666625,0.46199085,1.115515,0.83901,4.2801885,5.143312,3.550254,3.435855
1,0.950375,0.64084,0.66733,0.81383,4.044816,5.28262,3.550254,3.9262455
1,1.14408,0.80866,0.91661,0.899535,0.85590085,0.7791803,0.7401377,0.65216805
1,1.046921,0.8892725,0.91066,0.91548,0.9744689,0.826993,0.852766,1.32253975
1,0.9999385,1.013,0.91661,0.939485,0.85362715,0.7791803,0.7350239,0.679207
1,1.116,1.1302,1.0705,1.2193,1.003079,1.085022,0.934929,0.8938147
1,1.0911,1.0632,1.029865,1.19665,0.9710513,1.063107,1.108119,1.326277
1,1.1273,0.94166,1.029865,1.13,1.052189,1.063107,1.164036,1.511236
1,0.77894085,2.1027,1.08605,1.1476,1.151291,1.227476,1.5138895,0.7601299
1,1.1551,1.1096,1.1739,1.1327,1.133311,1.143131,1.165406,1.081093
1,0.93303,1.15055,1.10565,1.0581,1.1085215,1.1246055,1.0427245,0.8909228
1,0.92723,0.99342,1.0246,1.147,1.113591,1.077377,0.9595283,0.87233305
1,0.8884392,1.1861,0.94849,1.2235,0.8862106,0.6715015,0.8409721,0.5891711
1,1.2049996,2.2172,0.7535545,4.6344055,1.9781365,1.769097,1.330309,0.7628929
1,1.1912266,1.458,0.9992299,1.3033,1.132016,0.88273385,0.6198475,0.30645125
1,1.202386,0.7077738,1.065882,0.94192445,0.8810606,0.9472389,0.7698171,0.7011148
1,1.05280255,0.9505952,1.1495,1.0359,1.017263,0.9309253,0.820049,0.72289785
1,1.0084,0.91066,0.97198,0.95133,0.9547451,0.9010633,0.7846214,0.7512584
1,1.4720775,1.72592745,1.2678,0.9048955,1.3889145,1.373325,2.06610925,1.40879665
1,1.3416,1.0257,0.92514,1.3947,1.27564,1.028151,1.129943,2.864263
1,1.5789,1.0257,0.92514,1.3947,1.27564,1.028151,1.129943,1.788973
1,0.8202605,0.9315,1.0146,1.024863,1.113065,0.983653,1.12567,0.9566631
1,0.87121,0.96262,0.98393,0.86554,0.6927126,1.126075,1.776297,2.31123
